name_ID,name_orig,name_orig_for_lookup,google_name,name_compare,brief_desc,image_url,image_source,detailed_desc,desc_source
0,"Muybridge, Eadweard",Eadweard Muybridge,Eadweard Muybridge,TRUE,Photographer,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQhs-IqZ3aXNfhm_TzyL__dHKsrAs7t5BAG6dhBbtNn3LVgYaLE,https://en.wikipedia.org/wiki/List_of_people_from_the_Royal_Borough_of_Kingston_upon_Thames,"Eadweard Muybridge was an English photographer important for his pioneering work in photographic studies of motion, and early work in motion-picture projection. ",https://en.wikipedia.org/wiki/Eadweard_Muybridge
1,"Eickemeyer, Jr., Rudolf",Rudolf Jr. Eickemeyer,Rudolf Eickemeyer Jr.,FALSE,Photographer,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSi8vqcyth9XiKqnXNTeHm5gNsC2okK7OjibloPZ-Ogwn0shJFM,https://en.wikipedia.org/wiki/Rudolf_Eickemeyer_Jr.,"Rudolf Eickemeyer Jr. was an American pictorialist photographer, active in the late 19th and early 20th centuries. He was one of the first Americans to be admitted to the Linked Ring, and his photographs won dozens of medals at exhibitions around the world in the 1890s and early 1900s. ",https://en.wikipedia.org/wiki/Rudolf_Eickemeyer_Jr.
2,"Talbot, William Henry Fox",William Henry Fox Talbot,Henry Fox Talbot,FALSE,Scientist,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRl8unCbTS02REh7fxb5N-OJOU7M1A_SivRyL8LbhXjRH--CyxF,"https://en.m.wikipedia.org/wiki/File:William_Henry_Fox_Talbot,_by_John_Moffat,_1864.jpg","William Henry Fox Talbot FRS FRSE FRAS was an English scientist, inventor and photography pioneer who invented the salted paper and calotype processes, precursors to photographic processes of the later 19th and 20th centuries. ",https://en.wikipedia.org/wiki/Henry_Fox_Talbot
3,"Avedon, Richard",Richard Avedon,Richard Avedon,TRUE,American photographer,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQQqPK8VcSxlymVEmTIgnjycOwKXYy-ZXIcxs1rU42yH-rmyEqZ,https://en.wikipedia.org/wiki/Richard_Avedon,"Richard Avedon was an American fashion and portrait photographer. He worked for Harper's Bazaar and Vogue, specializing in capturing movement in still pictures of fashion, theater and dance. ",https://en.wikipedia.org/wiki/Richard_Avedon
5,"Nixon, Richard M.",Richard M. Nixon,Richard Nixon,FALSE,37th U.S. President,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRJ-HaKeHDQRdJ2d5d0wGVnNrwNN6wdLufusvdXk3Ml9kFPLRb1,https://commons.wikimedia.org/wiki/File:Richard_Nixon_presidential_portrait.jpg,"Richard Milhous Nixon was the 37th president of the United States, serving from 1969 until 1974. A member of the Republican Party, Nixon previously served as the 36th vice president from 1953 to 1961, having risen to national prominence as a representative and senator from California. ",https://en.wikipedia.org/wiki/Richard_Nixon
6,"Cox, George Collins",George Collins Cox,George C. Cox,FALSE,American photographer,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSj4iwqHft26XjxaiOnd3R4D7QiHNlgeylSiJaaexl6X1seYE_j,https://en.wikipedia.org/wiki/George_C._Cox,"George Collins Cox was an American photographer, notable for his portraits of Walt Whitman and Henry Ward Beecher.",https://en.wikipedia.org/wiki/George_C._Cox
8,"Obama, Barack H.",Barack H. Obama,Barack Obama,FALSE,44th U.S. President,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSkJEGgR2wJ0bp8DhOXx2QuexPLTslqt0v-G2iTiDWVp3iRhSnc,https://fr.m.wikipedia.org/wiki/Fichier:BarackObama2005portrait.jpg,"Barack Hussein Obama II is an American politician and attorney who served as the 44th president of the United States from 2009 to 2017. A member of the Democratic Party, Obama was the first African-American president of the United States. He previously served as a U.S. senator from Illinois from 2005 to 2008 and an Illinois state senator from 1997 to 2004.
Obama was born in Honolulu, Hawaii, making him the first president not born in the contiguous United States. After graduating from Columbia University in 1983, he worked as a community organizer in Chicago. ",https://en.wikipedia.org/wiki/Barack_Obama
10,"Peale, Titian Ramsay",Titian Ramsay Peale,Titian Peale,FALSE,American ornithologist,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNZgn8ew9L4817auk_8Ao5vKD3ed3ojQtZSkVqLo3JK66PpXKF,https://tr.m.wikipedia.org/wiki/Dosya:Titian_Ramsay_Peale_1799-1885.jpg,"Titian Ramsay Peale was an American ornithologist, entomologist, photographer, and explorer from Philadelphia, Pennsylvania. He was a scientific illustrator whose paintings and drawings of wildlife were known for their beauty and accuracy.
",https://en.wikipedia.org/wiki/Titian_Peale
12,"Erwitt, Elliott",Elliott Erwitt,Elliott Erwitt,TRUE,Photographer,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSKeobYUHoKu_8o7gWhNyFiyFu-L4r4bSpxPC235pIROlQb7SCM,"https://commons.wikimedia.org/wiki/File:Elliott_Erwitt_in_the_Westlicht_Museum_of_Photography,_Vienna.jpg",Elliott Erwitt is an American advertising and documentary photographer known for his black and white candid photos of ironic and absurd situations within everyday settings. He has been a Member of Magnum Photos since 1954.,https://en.wikipedia.org/wiki/Elliott_Erwitt
13,"Kennedy, John F.",John F. Kennedy,John F. Kennedy,TRUE,35th U.S. President,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRNNBRT_dbLTvAMY7qjUobyJLbC_rL42KCVDL46Ia_56uVvV_20,"https://commons.wikimedia.org/wiki/File:John_F._Kennedy,_White_House_color_photo_portrait.jpg","John Fitzgerald Kennedy, often referred to by his initials JFK and Jack, was an American politician who served as the 35th president of the United States from January 1961 until his assassination in November 1963. ",https://en.wikipedia.org/wiki/John_F._Kennedy
