Name,Name_ID,Category,Items,Img_path,wiki_brief,wiki_long,fill_check,border_check
"Muybridge, Eadweard",MuybridgeEadweard,Work and Industry,2346,images/0.jpg,Photographer,,img,wi
"Eickemeyer, Jr., Rudolf",EickemeyerJrRudolf,Work and Industry,1742,images/1.jpg,Photographer,"Rudolf Eickemeyer Jr. was an American pictorialist photographer, active in the late 19th and early 20th centuries. He was one of the first Americans to be admitted to the Linked Ring, and his photographs won dozens of medals at exhibitions around the world in the 1890s and early 1900s. ",img,wi
"Wheeler, Albert Harry",WheelerAlbertHarry,Medicine and Science,1128,,,,ms,ms
"Talbot, William Henry Fox",TalbotWilliamHenryFox,Work and Industry,836,images/2.jpg,Scientist,"William Henry Fox Talbot FRS FRSE FRAS was an English scientist, inventor and photography pioneer who invented the salted paper and calotype processes, precursors to photographic processes of the later 19th and 20th centuries. ",img,wi
"Avedon, Richard",AvedonRichard,Work and Industry,763,images/3.jpg,American photographer,"Richard Avedon was an American fashion and portrait photographer. He worked for Harper's Bazaar and Vogue, specializing in capturing movement in still pictures of fashion, theater and dance. ",img,wi
"Regan, Ken",ReganKen,Work and Industry,684,,,,wi,wi
"Nixon, Richard M.",NixonRichardM,Political and Military History,407,images/5.jpg,37th U.S. President,"Richard Milhous Nixon was the 37th president of the United States, serving from 1969 until 1974. A member of the Republican Party, Nixon previously served as the 36th vice president from 1953 to 1961, having risen to national prominence as a representative and senator from California. ",img,pmh
"Cox, George Collins",CoxGeorgeCollins,Work and Industry,357,images/6.jpg,American photographer,"George Collins Cox was an American photographer, notable for his portraits of Walt Whitman and Henry Ward Beecher.",img,wi
"Ferris, Stephen James",FerrisStephenJames,Work and Industry,315,,Painter,,wi,wi
"Obama, Barack H.",ObamaBarackH,Political and Military History,312,images/8.jpg,44th U.S. President,"Barack Hussein Obama II is an American politician and attorney who served as the 44th president of the United States from 2009 to 2017. A member of the Democratic Party, Obama was the first African-American president of the United States. He previously served as a U.S. senator from Illinois from 2005 to 2008 and an Illinois state senator from 1997 to 2004.
Obama was born in Honolulu, Hawaii, making him the first president not born in the contiguous United States. After graduating from Columbia University in 1983, he worked as a community organizer in Chicago. ",img,pmh
"Paul, Alice",PaulAlice,Political and Military History,294,,,,pmh,pmh
"Mersky, Leonard H.",MerskyLeonardH,Work and Industry,254,,,,wi,wi
"Peale, Titian Ramsay",PealeTitianRamsay,Work and Industry,243,images/10.jpg,American ornithologist,"Titian Ramsay Peale was an American ornithologist, entomologist, photographer, and explorer from Philadelphia, Pennsylvania. He was a scientific illustrator whose paintings and drawings of wildlife were known for their beauty and accuracy.
",img,wi
"Beal, Gifford",BealGifford,Work and Industry,232,,Artist,"Gifford Beal was an American artist noted for his work as a painter, watercolorist, printmaker and muralist.",wi,wi
"Erwitt, Elliott",ErwittElliott,Work and Industry,215,images/12.jpg,Photographer,Elliott Erwitt is an American advertising and documentary photographer known for his black and white candid photos of ironic and absurd situations within everyday settings. He has been a Member of Magnum Photos since 1954.,img,wi
"Hussey, Walter J.",HusseyWalterJ,Work and Industry,212,,,,wi,wi
"James, Catalina Juliana Mason Myers",JamesCatalinaJulianaMasonMyers,Cultural and Community Life,211,,,,ccl,ccl
"Levin, Floyd",LevinFloyd,Cultural and Community Life,205,,,,ccl,ccl
"Kennedy, John F.",KennedyJohnF,Political and Military History,198,images/13.jpg,35th U.S. President,"John Fitzgerald Kennedy, often referred to by his initials JFK and Jack, was an American politician who served as the 35th president of the United States from January 1961 until his assassination in November 1963. ",img,pmh
"Kasebier, Gertrude",KasebierGertrude,Work and Industry,194,images/14.jpg,American photographer,"Gertrude KÃ¤sebier was an American photographer. She was known for her images of motherhood, her portraits of Native Americans, and her promotion of photography as a career for women.",img,wi
"Bush, George W.",BushGeorgeW,Political and Military History,185,images/15.jpg,43rd U.S. President,"George Walker Bush is an American politician and businessman who served as the 43rd president of the United States from 2001 to 2009. A member of the Republican Party, he had previously served as the 46th governor of Texas from 1995 to 2000. Born into the Bush family, his father, George H. W. Bush, served as the 41st president of the United States from 1989 to 1993.
Bush is the eldest son of Barbara and George H. W. Bush. ",img,pmh
"Gore, Jr., Albert A.",GoreJrAlbertA,Political and Military History,184,images/16.jpg,Former Vice President of the United States,Albert Arnold Gore Jr. is an American politician and environmentalist who served as the 45th vice president of the United States from 1993 to 2001. ,img,pmh
"Law, Lisa",LawLisa,Work and Industry,182,,,,wi,wi
"Kennerly, David Hume",KennerlyDavidHume,Work and Industry,181,images/17.jpg,American photographer,"David Hume Kennerly is an American photographer. He won the 1972 Pulitzer Prize for Feature Photography for his portfolio of photographs of the Vietnam War, Cambodia, East Pakistani refugees near Calcutta, and the Ali-Frazier fight in Madison Square Garden. ",img,wi
"Smith, J. Andre",SmithJAndre,Political and Military History,181,,,,pmh,pmh
"Chase, Joseph Cummings",ChaseJosephCummings,Political and Military History,178,,,,pmh,pmh
"Eisenhower, Dwight D.",EisenhowerDwightD,Political and Military History,178,images/18.jpg,34th U.S. President,"Dwight David ""Ike"" Eisenhower, GCB, OM was an American politician and soldier who served as the 34th president of the United States from 1953 to 1961. ",img,pmh
"Weber, Martin J.",WeberMartinJ,Work and Industry,173,,,,wi,wi
"Wilkes, Charles",WilkesCharles,Work and Industry,167,,,,wi,wi
"Kennedy, Edward M.",KennedyEdwardM,Political and Military History,162,images/20.jpg,Former American senator,"Edward Moore Kennedy was an American politician and lawyer who served as a U.S. Senator from Massachusetts for almost 47 years, from 1962 until his death in 2009. ",img,pmh
"Baughman, J. Ross",BaughmanJRoss,Work and Industry,159,images/21.jpg,American photojournalist,"John Ross Baughman, known as J. Ross Baughman, is an American photojournalist who won a Pulitzer Prize for his portfolio showing the brutal treatment of prisoners by Rhodesian Security Forces in the fall of 1977.",img,wi
"Zalesky, Roy Joseph",ZaleskyRoyJoseph,Work and Industry,158,,,,wi,wi
"Hohner, M.",HohnerM,Cultural and Community Life,157,,,,ccl,ccl
"Goldwater, Barry",GoldwaterBarry,Political and Military History,149,images/23.jpg,Former American senator,"Barry Morris Goldwater was an American politician, businessman, and author who was a five-term Senator from Arizona and the Republican Party nominee for president of the United States in 1964. ",img,pmh
"McCain, John",McCainJohn,Political and Military History,148,images/24.jpg,Former United States Senator,"John Sidney McCain III was an American politician and US Navy officer, who served as a United States Senator for Arizona from 1987 until his death in 2018. ",img,pmh
"Roosevelt, Franklin Delano",RooseveltFranklinDelano,Political and Military History,143,images/25.jpg,32nd U.S. President,"Franklin Delano Roosevelt, often referred to by his initials FDR, was an American politician who served as the 32nd president of the United States from 1933 until his death in 1945. ",img,pmh
"Keppler, Victor",KepplerVictor,Work and Industry,137,,,,wi,wi
"Walker, Diana",WalkerDiana,Work and Industry,133,,American photographer,Diana Walker is an American photographer known for her work as a TIME Magazine White House photographer from 1984â€“2004.,wi,wi
"Baker, Richard P.",BakerRichardP,Medicine and Science,130,,,,ms,ms
"Gardner, Alexander",GardnerAlexander,Work and Industry,129,,,,wi,wi
"Miller, Benjamin",MillerBenjamin,Work and Industry,128,,,,wi,wi
"Maroon, Fred J.",MaroonFredJ,Work and Industry,122,,,,wi,wi
"Clinton, Bill",ClintonBill,Political and Military History,120,images/29.jpg,42nd U.S. President,"William Jefferson Clinton is an American lawyer and politician who served as the 42nd president of the United States from 1993 to 2001. Prior to his presidency, he served as governor of Arkansas and as attorney general of Arkansas. ",img,pmh
"Uzzle, Burk",UzzleBurk,Work and Industry,119,,Photojournalist,"Burk Uzzle is an American photojournalist, previously member of Magnum Photos and president from 1979 to 1980.
Burk Uzzle has spent his life as a professional photographer. ",wi,wi
"Johnson, Lyndon B.",JohnsonLyndonB,Political and Military History,117,,,,pmh,pmh
"Ruohomaa, Kosti",RuohomaaKosti,Work and Industry,117,,,,wi,wi
"Head, Howard",HeadHoward,Cultural and Community Life,116,,,,ccl,ccl
"McGovern, George",McGovernGeorge,Political and Military History,116,images/31.jpg,American Politician,"George Stanley McGovern was an American politician, historian, U.S. representative, U.S. senator, and the Democratic Party presidential nominee in the 1972 presidential election.
McGovern grew up in Mitchell, South Dakota, where he was a renowned debater. He volunteered for the U.S. ",img,pmh
"Lincoln, Abraham",LincolnAbraham,Political and Military History,115,,,,pmh,pmh
"Peixotto, Ernest Clifford",PeixottoErnestClifford,Political and Military History,115,images/33.jpg,American artist,"Ernest Clifford Peixotto was an American artist, illustrator, and author. Although he was known mainly for his murals and his travel literature, his artwork also regularly appeared in Scribner's Magazine. ",img,pmh
"Ogden, H. A.",OgdenHA,Political and Military History,114,,,,pmh,pmh
"Berman, Martin",BermanMartin,Medicine and Science,112,,,,ms,ms
"Johnson, Crockett",JohnsonCrockett,Medicine and Science,110,,,,ms,ms
"Negre, Charles",NegreCharles,Work and Industry,110,,,,wi,wi
"Carter, Jimmy",CarterJimmy,Political and Military History,107,images/37.jpg,39th U.S. President,"James Earl Carter Jr. is an American politician, philanthropist, and former farmer who served as the 39th president of the United States from 1977 to 1981. ",img,pmh
"Gasparro, Frank",GasparroFrank,Work and Industry,105,images/38.jpg,,"Frank Gasparro was the tenth Chief Engraver of the United States Mint, holding this position from February 23, 1965, to January 16, 1981. Before that, he was Assistant Engraver. He designed both sides of the Susan B. ",img,wi
"Reagan, Ronald Wilson",ReaganRonaldWilson,Political and Military History,104,images/39.jpg,40th U.S. President,Ronald Wilson Reagan was an American politician who served as the 40th president of the United States from 1981 to 1989 and became a highly influential voice of modern conservatism. ,img,pmh
"Paul, Ron",PaulRon,Political and Military History,103,images/40.jpg,Former U.S. Representative,"Ronald Ernest Paul is an American author, physician, retired politician, and presidential candidate who served as the U.S. Representative for Texas's 22nd congressional district from 1976 to 1977 and again from 1979 to 1985, and for Texas's 14th congressional district from 1997 to 2013. ",img,pmh
"Romney, Mitt",RomneyMitt,Political and Military History,102,images/41.jpg,United States Senator,"Willard Mitt Romney is an American politician, businessman and former presidential candidate who has served as the junior United States senator from Utah since January 2019. ",img,pmh
"Horenstein, Henry",HorensteinHenry,Work and Industry,100,,,,wi,wi
"Haines, Frank D.",HainesFrankD,Cultural and Community Life,98,,,"Frank D. Haines was a Justice of the Connecticut Supreme Court from 1925 to 1936.
Born in Colchester, Connecticut to David Haines and Amanda Taylor Haines, he was raised on a farm and attended Bacon Academy in that city. ",ccl,ccl
"Muray, Nickolas",MurayNickolas,Work and Industry,98,images/43.jpg,American photographer,Nickolas Muray was a Hungarian-born American photographer and Olympic saber fencer.,img,wi
"Mondale, Walter F.",MondaleWalterF,Political and Military History,95,images/44.jpg,Former Vice President of the United States,"Walter Frederick Mondale is an American politician, diplomat and lawyer who served as the 42nd vice president of the United States from 1977 to 1981. ",img,pmh
"Bush, Vannevar",BushVannevar,Medicine and Science,92,,,,ms,ms
"Wilson, G. W.",WilsonGW,Work and Industry,88,,,,wi,wi
"Barber, Charles",BarberCharles,Work and Industry,86,,,,wi,wi
"Ferris, Jean Leon Gerome",FerrisJeanLeonGerome,Work and Industry,86,images/47.jpg,American painter,"Jean Leon Gerome Ferris was an American painter best known for his series of 78 scenes from American history, entitled The Pageant of a Nation, the largest series of American historical paintings by a single artist.",img,wi
"Johnson, Lyndon B. (Lyndon Baines)",JohnsonLyndonB(LyndonBaines),Political and Military History,85,images/48.jpg,36th U.S. President,,img,pmh
"Ford, Gerald R.",FordGeraldR,Political and Military History,84,images/49.jpg,38th U.S. President,Gerald Rudolph Ford Jr. was an American politician who served as the 38th president of the United States from August 1974 to January 1977. ,img,pmh
"Washington, George",WashingtonGeorge,Political and Military History,83,images/50.jpg,1st U.S. President,"George Washington was an American political leader, military general, statesman, and founding father who served as the first president of the United States from 1789 to 1797. ",img,pmh
"Kaplan, Jerome",KaplanJerome,Work and Industry,82,,Costume designer,,wi,wi
"White House, The",WhiteHouseThe,Political and Military History,81,images/52.jpg,32nd U.S. President,"Franklin Delano Roosevelt, often referred to by his initials FDR, was an American politician who served as the 32nd president of the United States from 1933 until his death in 1945. ",img,pmh
"Bordwell, Sally",BordwellSally,Work and Industry,78,,,,wi,wi
"Cordry, Donald",CordryDonald,Cultural and Community Life,78,,,,ccl,ccl
"Copp, Jr., Samuel",CoppJrSamuel,Cultural and Community Life,75,,,,ccl,ccl
"Sonntag, Kenneth G.",SonntagKennethG,Political and Military History,72,,,,pmh,pmh
"Kerry, John F.",KerryJohnF,Political and Military History,70,images/53.jpg,Former United States Secretary of State,John Forbes Kerry is an American politician and diplomat who served as the 68th United States Secretary of State from 2013 to 2017. ,img,pmh
"Clinton, Hillary Rodham",ClintonHillaryRodham,Political and Military History,69,images/54.jpg,Former United States Secretary of State,"Hillary Diane Rodham Clinton is an American politician, diplomat, lawyer, writer, and public speaker who served as the 67th United States secretary of state from 2009 to 2013, as a United States senator from New York from 2001 to 2009, and as First Lady of the United States from 1993 to 2001. ",img,pmh
"Weingarten, Robert I.",WeingartenRobertI,Work and Industry,68,,,,wi,wi
"Baur, Max",BaurMax,Work and Industry,66,,Pharmacologist,,wi,wi
"Robinson, Henry R.",RobinsonHenryR,Cultural and Community Life,64,,,,ccl,ccl
"Edwards, John",EdwardsJohn,Political and Military History,63,,,,pmh,pmh
"Hill, Levi",HillLevi,Work and Industry,63,images/57.jpg,American photographer,"Levi Hill was an American minister in upstate New York who claimed in 1851 that he had invented a color photographic process. Borrowing terms previously introduced in France, Hill called his process ""heliochromy"" and the photographs that it produced ""heliochromes"", but by analogy to the naming of the then-current daguerreotype process after its inventor Louis Daguerre, Hill's color photographs were soon being called ""Hillotypes"". ",img,wi
"Mydans, Carl",MydansCarl,Work and Industry,63,images/58.jpg,American photographer,Carl Mydans was an American photographer who worked for the Farm Security Administration and Life magazine.,img,wi
"Bush, George",BushGeorge,Political and Military History,62,images/59.jpg,43rd U.S. President,"George Walker Bush is an American politician and businessman who served as the 43rd president of the United States from 2001 to 2009. A member of the Republican Party, he had previously served as the 46th governor of Texas from 1995 to 2000. Born into the Bush family, his father, George H. W. Bush, served as the 41st president of the United States from 1989 to 1993.
Bush is the eldest son of Barbara and George H. W. Bush. ",img,pmh
"Furst, Moritz",FurstMoritz,Work and Industry,62,,,,wi,wi
"Biden, Joe",BidenJoe,Political and Military History,60,images/60.jpg,Former Vice President of the United States,"Joseph Robinette Biden Jr. is an American politician who served as the 47th vice president of the United States from 2009 to 2017. A member of the Democratic Party, he served as a United States Senator for Delaware from 1973 to 2009. Biden is the Democratic presidential nominee for the 2020 election, running against the incumbent, Donald Trump.
Biden was raised in Scranton, Pennsylvania, and New Castle County, Delaware. He studied at the University of Delaware before receiving his law degree from Syracuse University. He became a lawyer in 1969 and was elected to the New Castle County Council in 1970. He was elected to the U.S. Senate from Delaware in 1972, becoming the sixth-youngest senator in American history. Biden was a longtime member and eventually chairman of the Senate Foreign Relations Committee. ",img,pmh
"Bridwell, Norman",BridwellNorman,Cultural and Community Life,60,images/61.jpg,American author,Norman Ray Bridwell was an American author and cartoonist best known for the Clifford the Big Red Dog book series.,img,ccl
"Hart, Gary",HartGary,Political and Military History,60,images/62.jpg,Former United States Senator,"Gary Warren Hart is an American politician, diplomat, and lawyer. He was the front-runner for the 1988 Democratic presidential nomination until he dropped out amid revelations of extramarital affairs. ",img,pmh
"Mink, Patricia A.",MinkPatriciaA,Political and Military History,60,,,,pmh,pmh
"Humphrey, Hubert H.",HumphreyHubertH,Political and Military History,59,images/63.jpg,Former Vice President of the United States,"Hubert Horatio Humphrey Jr. was an American politician who served as the 38th vice president of the United States from 1965 to 1969. He twice served in the United States Senate, representing Minnesota from 1949 to 1964 and 1971 to 1978. He was the Democratic Party's nominee in the 1968 presidential election, losing to Republican nominee Richard Nixon.
Born in Wallace, South Dakota, Humphrey attended the University of Minnesota. At one point he helped run his father's pharmacy. ",img,pmh
"Miller, William E.",MillerWilliamE,Political and Military History,59,images/64.jpg,American actress,"Marilyn Monroe was an American actress, model, and singer. Famous for playing comedic ""blonde bombshell"" characters, she became one of the most popular sex symbols of the 1950s and early 1960s and was emblematic of the era's changing attitudes towards sexuality. ",img,pmh
"Rinsland, George",RinslandGeorge,Cultural and Community Life,59,,,,ccl,ccl
"Boydell, John",BoydellJohn,Work and Industry,57,,,,wi,wi
"Rogers, Jane",RogersJane,Work and Industry,57,,British designer,"Susan Jane ""Su"" Rogers, is a British designer and educator. She was a co-founder and partner during the 1960s and 1970s in two architectural practices Team 4 and Richard + Su Rogers. From 1986 to 2011, she was a partner in Colquhoun, Miller and Partners. ",wi,wi
"McCarthy, Eugene",McCarthyEugene,Political and Military History,56,images/67.jpg,Former United States Senator,Eugene Joseph McCarthy was an American politician and poet from Minnesota. He served in the United States House of Representatives from 1949 to 1959 and the United States Senate from 1959 to 1971. ,img,pmh
"Henson, Jim",HensonJim,Cultural and Community Life,55,images/68.jpg,American puppeteer,"James Maury Henson was an American puppeteer, animator, cartoonist, actor, inventor, filmmaker, and screenwriter who achieved worldwide notice as the creator of The Muppets and Fraggle Rock; puppeteer and puppet character creator for Sesame Street and as the director of The Dark Crystal and Labyrinth. ",img,ccl
"Stevenson, Adlai",StevensonAdlai,Political and Military History,54,images/69.jpg,Former Governor of Illinois,"Adlai Ewing Stevenson II was an American lawyer, politician, and diplomat.
Raised in Bloomington, Illinois, Stevenson was a member of the Democratic Party. ",img,pmh
"Mason, Catalina Juliana Myers",MasonCatalinaJulianaMyers,Cultural and Community Life,53,,,,ccl,ccl
"Morikawa, Kokichiro",MorikawaKokichiro,Work and Industry,53,,,,wi,wi
"Szesko, Judith Jaidinger",SzeskoJudithJaidinger,Work and Industry,53,,,,wi,wi
"Muybridge, Eadweard",MuybridgeEadweard,Cultural and Community Life,52,images/0.jpg,Photographer,,img,ccl
"Reagan, Ronald",ReaganRonald,Political and Military History,52,images/71.jpg,40th U.S. President,Ronald Wilson Reagan was an American politician who served as the 40th president of the United States from 1981 to 1989 and became a highly influential voice of modern conservatism. ,img,pmh
"Duke, Lucille Katherine",DukeLucilleKatherine,Cultural and Community Life,51,,,,ccl,ccl
"Kennedy, Robert F.",KennedyRobertF,Political and Military History,51,images/72.jpg,Former United States Attorney General,"Robert Francis Kennedy, also referred to by his initials RFK and occasionally by the nickname Bobby, was an American politician and lawyer who served as the 64th United States Attorney General from January 1961 to September 1964, and as a U.S. ",img,pmh
"Roosevelt, Theodore",RooseveltTheodore,Political and Military History,51,images/73.jpg,26th U.S. President,"Theodore Roosevelt Jr., often referred to as Teddy Roosevelt or his initials T. R., was an American statesman, politician, conservationist, naturalist, and writer, who served as the 26th president of the United States from 1901 to 1909. ",img,pmh
"Bacon, Ruth",BaconRuth,Political and Military History,50,images/74.jpg,American actress,"Sosie Ruth Bacon is an American actress. Her first role was playing 10-year-old Emily in the movie Loverboy, which was directed by her father, Kevin Bacon. ",img,pmh
"Fridrich, Elmer G.",FridrichElmerG,Work and Industry,50,,,,wi,wi
"Levy, John",LevyJohn,Cultural and Community Life,50,,,,ccl,ccl
"Huckabee, Mike",HuckabeeMike,Political and Military History,49,,,,pmh,pmh
"King, Jr., Martin Luther",KingJrMartinLuther,Political and Military History,49,images/76.jpg,American minister,Martin Luther King Jr. was an American Christian minister and activist who became the most visible spokesperson and leader in the civil rights movement from 1955 until his assassination in 1968. ,img,pmh
"Lloyd, John Uri",LloydJohnUri,Medicine and Science,49,,,,ms,ms
"Nader, Ralph",NaderRalph,Political and Military History,49,,,,pmh,pmh
"Tartt, Jr., Jo C.",TarttJrJoC,Work and Industry,49,,,,wi,wi
"Trump, Donald J.",TrumpDonaldJ,Political and Military History,49,images/77.jpg,45th U.S. President,"Donald John Trump is the 45th and current president of the United States. Before entering politics, he was a businessman and television personality.
Trump was born and raised in Queens, New York City. ",img,pmh
"Agnew, Spiro T.",AgnewSpiroT,Political and Military History,48,images/78.jpg,Former Vice President of the United States,"Spiro Theodore Agnew was the 39th vice president of the United States from 1969 until his resignation in 1973. He is the second and most recent vice president to resign the position, the other being John C. Calhoun in 1832. ",img,pmh
"Anthony, Susan B.",AnthonySusanB,Political and Military History,48,images/79.jpg,American women's rights activist,"Susan B. Anthony was an American social reformer and women's rights activist who played a pivotal role in the women's suffrage movement. Born into a Quaker family committed to social equality, she collected anti-slavery petitions at the age of 17. In 1856, she became the New York state agent for the American Anti-Slavery Society.
",img,pmh
"Meggers, Edith R.",MeggersEdithR,Cultural and Community Life,48,,,,ccl,ccl
"Copt, Terry R.",CoptTerryR,Political and Military History,47,,,,pmh,pmh
"Fassbender, Adolf",FassbenderAdolf,Work and Industry,47,,Artist,,wi,wi
"Gobrecht, Christian",GobrechtChristian,Work and Industry,47,images/81.jpg,,"Christian Gobrecht was the third Chief Engraver of the United States Mint from 1840 until his death in 1844. He was responsible for designing the famous ""Seated Liberty"" designs, which were in turn the direct inspiration for the design of the Trade Dollar. ",img,wi
"Obama, Michelle",ObamaMichelle,Political and Military History,46,images/82.jpg,Former First Lady of the United States,"Michelle LaVaughn Robinson Obama is an American attorney and author who was the first lady of the United States from 2009 to 2017. She is married to the 44th president of the United States, Barack Obama. She was the first African-American first lady.
Raised on the South Side of Chicago, Illinois, Obama is a graduate of Princeton University and Harvard Law School. In her early legal career, she worked at the law firm Sidley Austin where she met Barack Obama. ",img,pmh
"Johnson, Richard",JohnsonRichard,Political and Military History,45,,,,pmh,pmh
"Totten, Ralph J.",TottenRalphJ,Work and Industry,45,,,,wi,wi
"Jochum, Betsy",JochumBetsy,Cultural and Community Life,44,images/84.jpg,Baseball player,"Betsy ""Sockum"" Jochum is a former outfielder and pitcher who played from 1943 through 1948 in the All-American Girls Professional Baseball League. Listed at 5' 7"", 140 lb., she batted and threw right-handed.",img,ccl
"Morgan, George T.",MorganGeorgeT,Work and Industry,44,,,,wi,wi
"Powers, Mark James",PowersMarkJames,Work and Industry,44,,,,wi,wi
"Rubin, Edward",RubinEdward,Political and Military History,44,,,,pmh,pmh
