Name,Name_ID,Name_Display,Category,fill_check,border_check,Items
"Muybridge, Eadweard",MuybridgeEadweard,Eadweard Muybridge,Work and Industry,wi,wi,2346
"Eickemeyer, Jr., Rudolf",EickemeyerJrRudolf,Rudolf Jr. Eickemeyer,Work and Industry,wi,wi,1742
"Wheeler, Albert Harry",WheelerAlbertHarry,Albert Harry Wheeler,Medicine and Science,ms,ms,1128
"Talbot, William Henry Fox",TalbotWilliamHenryFox,William Henry Fox Talbot,Work and Industry,wi,wi,836
"Avedon, Richard",AvedonRichard,Richard Avedon,Work and Industry,wi,wi,763
"Regan, Ken",ReganKen,Ken Regan,Work and Industry,wi,wi,684
"Nixon, Richard M.",NixonRichardM,Richard M. Nixon,Political and Military History,pmh,pmh,407
"Cox, George Collins",CoxGeorgeCollins,George Collins Cox,Work and Industry,wi,wi,357
"Ferris, Stephen James",FerrisStephenJames,Stephen James Ferris,Work and Industry,wi,wi,315
"Obama, Barack H.",ObamaBarackH,Barack H. Obama,Political and Military History,pmh,pmh,312
"Paul, Alice",PaulAlice,Alice Paul,Political and Military History,pmh,pmh,294
"Mersky, Leonard H.",MerskyLeonardH,Leonard H. Mersky,Work and Industry,wi,wi,254
"Peale, Titian Ramsay",PealeTitianRamsay,Titian Ramsay Peale,Work and Industry,wi,wi,243
"Beal, Gifford",BealGifford,Gifford Beal,Work and Industry,wi,wi,232
"Erwitt, Elliott",ErwittElliott,Elliott Erwitt,Work and Industry,wi,wi,215
"Hussey, Walter J.",HusseyWalterJ,Walter J. Hussey,Work and Industry,wi,wi,212
"James, Catalina Juliana Mason Myers",JamesCatalinaJulianaMasonMyers,Catalina Juliana Mason Myers James,Cultural and Community Life,ccl,ccl,211
"Levin, Floyd",LevinFloyd,Floyd Levin,Cultural and Community Life,ccl,ccl,205
"Kennedy, John F.",KennedyJohnF,John F. Kennedy,Political and Military History,pmh,pmh,198
"Kasebier, Gertrude",KasebierGertrude,Gertrude Kasebier,Work and Industry,wi,wi,194
"Bush, George W.",BushGeorgeW,George W. Bush,Political and Military History,pmh,pmh,185
"Gore, Jr., Albert A.",GoreJrAlbertA,Albert A. Jr. Gore,Political and Military History,pmh,pmh,184
"Law, Lisa",LawLisa,Lisa Law,Work and Industry,wi,wi,182
"Kennerly, David Hume",KennerlyDavidHume,David Hume Kennerly,Work and Industry,wi,wi,181
"Smith, J. Andre",SmithJAndre,J. Andre Smith,Political and Military History,pmh,pmh,181
"Chase, Joseph Cummings",ChaseJosephCummings,Joseph Cummings Chase,Political and Military History,pmh,pmh,178
"Eisenhower, Dwight D.",EisenhowerDwightD,Dwight D. Eisenhower,Political and Military History,pmh,pmh,178
"Weber, Martin J.",WeberMartinJ,Martin J. Weber,Work and Industry,wi,wi,173
"Wilkes, Charles",WilkesCharles,Charles Wilkes,Work and Industry,wi,wi,167
"Kennedy, Edward M.",KennedyEdwardM,Edward M. Kennedy,Political and Military History,pmh,pmh,162
"Baughman, J. Ross",BaughmanJRoss,J. Ross Baughman,Work and Industry,wi,wi,159
"Zalesky, Roy Joseph",ZaleskyRoyJoseph,Roy Joseph Zalesky,Work and Industry,wi,wi,158
"Hohner, M.",HohnerM,M. Hohner,Cultural and Community Life,ccl,ccl,157
"Goldwater, Barry",GoldwaterBarry,Barry Goldwater,Political and Military History,pmh,pmh,149
"McCain, John",McCainJohn,John McCain,Political and Military History,pmh,pmh,148
