Name,Name_ID,Category,Items,Img_path,wiki_brief,wiki_long,fill_check,border_check,Name_Display,Topics,Sub_Category,Name_Web,smithsonian_URL,google_URL
"Muybridge, Eadweard",MuybridgeEadweard,Work and Industry,2346,images/0.jpg,Photographer,,img,wi,Eadweard Muybridge,"Photography, Nudity, Anatomy, Woman, Women, Walking, Photography, Clothing and dress, Dress accessories, Men, Costume, Running, Water, Household Tools and Equipment, Runner, Landscapes, Fashion, Shoes, Miners, Hair, Animals, weightlifting, Children, Models (representations), Horses, Laundry, Boys, Food habits, Flowers, Bedroom, Hands, Photography, Men, Photography, Portraits, Kitchen utensils, Art, Artifact Walls exhibit, Baseball, Dogs, Football, Girls, Photo History Collection, Science, Scientific apparatus and instruments, Sports, Wagons, Yosemite Valley", Photographic History,Eadweard%20Muybridge,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Eadweard%20Muybridge,https://www.google.com/search?q=Eadweard%20Muybridge
"Eickemeyer, Jr., Rudolf",EickemeyerJrRudolf,Work and Industry,1742,images/1.jpg,Photographer,"Rudolf Eickemeyer Jr. was an American pictorialist photographer, active in the late 19th and early 20th centuries. He was one of the first Americans to be admitted to the Linked Ring, and his photographs won dozens of medals at exhibitions around the world in the 1890s and early 1900s. ",img,wi,Rudolf Jr. Eickemeyer,"Rudolf Eickemeyer Jr. Collection, Photography, Women, Animals, Men, Children, Horses, Flowers, Furnishings, Trees, Dogs, Portraits, Woman, Mount Meigs Album, Boats and boating, Farms, Agriculture, Rudolf Eickemeyer Jr. Collection, Photography, Water, Fishing, Sailing Ships, Religion, Fishes, Church buildings, Children, Men, Older people, Sugar, Winter, Firearms, Botany, Missionaries, Plants, Wood-carving, Landscapes, River scenes & river life, Baskets, Food habits, Food, Cemetery, Cats, Hiking, Galleries, Gardening, Gold mines and mining, Amusements, Art, Birds, Camping, Cotton, Dance, Wagons, Wine and wine making, Schools, Sheep, Museums, Military, Models (representations), Monuments, Music, Musical instruments, Reading, Women", Photographic History,Rudolf%20Jr%20Eickemeyer,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Rudolf%20Jr%20Eickemeyer,https://www.google.com/search?q=Rudolf%20Jr%20Eickemeyer
"Wheeler, Albert Harry",WheelerAlbertHarry,Medicine and Science,1128,,,,ms,ms,Albert Harry Wheeler,"Mathematics, Science, Trigonometry, Spherical Trigonometry, Mathematics, Mathematical Association of America Objects, Science, Games, Mathematical Recreations, Mathematics, Mathematics, Mathematics, Science, Trigonometry", Mathematics,Albert%20Harry%20Wheeler,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Albert%20Harry%20Wheeler,https://www.google.com/search?q=Albert%20Harry%20Wheeler
"Talbot, William Henry Fox",TalbotWilliamHenryFox,Work and Industry,836,images/2.jpg,Scientist,"William Henry Fox Talbot FRS FRSE FRAS was an English scientist, inventor and photography pioneer who invented the salted paper and calotype processes, precursors to photographic processes of the later 19th and 20th centuries. ",img,wi,William Henry Fox Talbot,"Photography, Art, Communications, Photography, Architecture, Furnishings, Church buildings, Photography, Parks, public, Religion, Women, Portraits, Angels, Agriculture", Photographic History,William%20Henry%20Fox%20Talbot,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=William%20Henry%20Fox%20Talbot,https://www.google.com/search?q=William%20Henry%20Fox%20Talbot
"Avedon, Richard",AvedonRichard,Work and Industry,763,images/3.jpg,American photographer,"Richard Avedon was an American fashion and portrait photographer. He worked for Harper's Bazaar and Vogue, specializing in capturing movement in still pictures of fashion, theater and dance. ",img,wi,Richard Avedon,"Photography, Richard Avedon Collection, Art, Portraits, Family, Presidents, First ladies, Presidents' spouses, Insanity, Hospitals, Actors and actresses, Amusements, Authors, Music, Musical instruments, Children, Government, Costume, Outer space, Richard Avedon Collection, Presidents, Portraits, Photography, Family, Art, Theater, Terrorism, Artifact Walls exhibit, Animals, Architecture, Cvil Rights, September 11th Attacks, Dancers, Elephants, Inaugurations, Men, Opera, Presidential Inauguration of 1961", Photographic History,Richard%20Avedon,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Richard%20Avedon,https://www.google.com/search?q=Richard%20Avedon
"Regan, Ken",ReganKen,Work and Industry,684,,,,wi,wi,Ken Regan,"Ken Regan Collection, Photography, Amusements, Government, Politics, Social reformers, Sports, Presidents, Basketball, Animals, Family, Social life and customs, Photography, Horse racing, Kentucky Derby, Weddings, Protests, Horses, social reform, Birds, Actors and actresses, Television broadcasts, Gay Rights, Politics, Vice-Presidents, Amusements, Football, Motion pictures, Sports, Swimming, Rodeos, Skiing, Surfing, auto racing, Legislators, Dress accessories, Clothing and dress, Baseball, Television, Political Conventions, Journalism, Children, First ladies, Track and Field, Music, Presidents' spouses, Running, shipwreck, Labor unions, Fashion Designer, Fashion, Exploration and Discovery, Family, Presidents, Social life and customs, Dance, Industrialization, Manufacturing industries, exercising, Runner, Dancers, Ecology, Air Travel, Authors, Church buildings, Comedians, Sport, Super Bowl, Women, Games, Golf, Elephants, Description and travel, Musical instruments, Newspapers, Olympics, Monuments, Wars, lions, Theater, Peace movements, River scenes & river life, Architecture, Boats and boating, Flags, Food, Music, Government, Social reformers, Actors and actresses, Civil rights, Economics, Equal rights amendments, Markets, Inaugurations, Health & Medicine, Gymnastics, Funeral rites and ceremonies, Flowers, Mathematics, hotels, Water, Tennis, Social Security, Science, Rowing, Abortion, Art, Art Collectors and collecting, Baseball, Billiards, Camping, Comedy, Disasters, Draft Resistance, Diving, Energy & Power, Factory worker, Student protest, U. S. Capitol, U.S. Capitol Building, Victory, Vietnam War, Woman, World War, 1939-1945, Squash, Snakes, Smoking, Sailors, Fire, Firearms, Fishes, Fishing, Fund raising, HIV-AIDS, Health Care, Ice Skating, Jewelry, Law, Men, Military, Parks, public, Ping Pong, Popular Culture, Authors, Cemetery, Children, First ladies, Golf, Hip-Hop, Journalism, Newspapers, Presidents' spouses, Runner, Running, Sport, Television broadcasts, Woman, Woodstock Music and Art Fair, World Series, grave", Photographic History,Ken%20Regan,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Ken%20Regan,https://www.google.com/search?q=Ken%20Regan
"Nixon, Richard M.",NixonRichardM,Political and Military History,407,images/5.jpg,37th U.S. President,"Richard Milhous Nixon was the 37th president of the United States, serving from 1969 until 1974. A member of the Republican Party, Nixon previously served as the 36th vice president from 1953 to 1961, having risen to national prominence as a representative and senator from California. ",img,pmh,Richard M. Nixon,"Princeton Posters, Politics, Politics, Politics, Social reformers, Peace movements, Wars, Social reformers, Government, Politics, Wars, Princeton Posters, Government, Peace movements, Impeachment, Vietnam War, Protest and Civil Disobedience, Princeton Posters, March, Rally, Demonstration, or Other, Government, Presidents, Government, Watergate Breakin, Government, Political parties, Elections, Presidents, Impeachment, Social reformers, Government, Social reformers, Social reformers, Women's History, Presidential Campaign of 1972, Politics, Government, Presidents, Advertising, Politics, Vietnam War, Presidents, Inaugurations, Politics, Republican National Convention, Government, Social reformers, Republican Party (U.S. : 1854- ), Presidents, Buttons, Badges, Ribbons, Presidential Campaign of 1972, Politics, Government, Government, Presidents, Politics, Government, Wars, Vietnam War, Peace movements, Military, Government, Vietnam War, Wars, Social reformers, Social reformers, Republican Party (U.S. : 1854- ), Peace movements, Presidents, Princeton Posters, Princeton Posters, Princeton Posters, Buttons, Badges, Ribbons, Protests, Princeton Posters, Inaugurations, Social reformers, Government, Social reformers, Presidents, Presidents, Protests, Republican Party (U.S. : 1854- ), Vietnam War, Vietnam War, Wars, Republican Party (U.S. : 1854- ), Authors, Economics, Economics, Presidential Campaign of 1956, Presidents, Government, Protest and Civil Disobedience, Quakers, Parades, Peace movements, Government, Government, Impeachment, Impeachment, Presidents, Presidents, Princeton Posters, Protests, Social reformers, Social reformers, Social reformers, Photography, Politics, Politics, Wars, Government, Impeachment, Peace movements, Buttons, Badges, Ribbons, Government, Politics, Social reformers, Presidents, Politics, Elections, Women's History, Social reformers, Elections, Government, Politics, Presidents, Republican National Convention of 1972, Watergate Breakin, Women, Women, Wars, Vice-Presidents, Social reformers, Jewelry, Animals, Elections, Government, History, Reform Movements, Black, Civil Rights, Newspapers, Social reformers, Peace movements, Politics, Politics, Presidential Campaign of 1952, Presidential Campaign of 1956, Republican National Convention of 1976, Princeton Posters, Music, Music, Photography, Photography, Political Caricatures, Political Corruption, Political parties, Politics, Portraits, Presidential Campaign of 1956, Presidential Campaign of 1972, Presidential Campaign of 1988, Presidential Inauguration of 1957, Presidents, Presidents' spouses, Military, March, Rally, Demonstration, or Other, Legislators, First ladies, Dress accessories, Elections, Elections, Elections, Fascism, First ladies, Government, Inaugurations, Government, Government, Impeachment, Impeachment, Impeachment, Inaugurations, Presidents' spouses, Princeton Posters, Princeton Posters, Vietnam War, Princeton Posters, Republican National Convention, Republican National Convention of 1972, Smoking, Social reformers, Social reformers, Vietnam War, Vietnam War, Washington D.C., Watergate, Watergate Breakin, Wit and humor, Clothing and dress, Social reformers, Television broadcasts, Watergate Breakin, Presidents, Presidents, Politics, Political parties, Government, Government, Inaugurations, Politics, Republican Party (U.S. : 1854- ), Republican Party (U.S. : 1854- ), Korean War, 1950-1953, Engineering, Agriculture, Advertising, Veterans, Princeton Posters, Protest and Civil Disobedience, Presidential Campaign of 1972, Politics, March, Rally, Demonstration, or Other, Government, Politics, Presidential Campaign of 1972, Princeton Posters, Social reformers, Social reformers, Vietnam War, Elections, Government, Politics, Presidents, Television broadcasts, Food Culture, Government, Inaugurations, Novelty, Politics, Presidents, Social reformers, Souvenirs, U.S. Capitol Building, scholastic, fitness, World War, 1939-1945, Wit and humor, Golf, Clothing and dress, Clothing and dress, Dress accessories, Dress accessories, Elections, Elections, Elections, Government, Government, Government, Hair Care Products, Impeachment, Impeachment, Inaugurations, Inaugurations, Buttons, Badges, Ribbons, Amusements, Inaugurations, Inaugurations, Korean War, 1950-1953, Princeton Posters, Protests, Republican National Convention of 2000, Social reformers, Souvenirs, Sport, Sports, Trials, U.S. Capitol Building, U.S. National Government, judiciary, Vice-Presidents, Vietnam War, Voting, Voting, Wars, Washington D.C., Princeton Posters, Presidents, March, Rally, Demonstration, or Other, Presidents, Military, Music, Novelty, Patriotism, Peace, Peace, Peace movements, Political Caricatures, Political parties, Political prisoners, Politics, Presidential Campaign of 1952, Presidential Campaign of 1972, Presidents, Presidents, Inaugurations, Motion pictures"," Political History, Campaign Collection",Richard%20M%20Nixon,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Richard%20M%20Nixon,https://www.google.com/search?q=Richard%20M%20Nixon
"Cox, George Collins",CoxGeorgeCollins,Work and Industry,357,images/6.jpg,American photographer,"George Collins Cox was an American photographer, notable for his portraits of Walt Whitman and Henry Ward Beecher.",img,wi,George Collins Cox,"Photography, Portraits, Memorials, Monuments, Photography, Sculpture, Art", Photographic History,George%20Collins%20Cox,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=George%20Collins%20Cox,https://www.google.com/search?q=George%20Collins%20Cox
"Ferris, Stephen James",FerrisStephenJames,Work and Industry,315,,Painter,,wi,wi,Stephen James Ferris,"Art, Portraits, Art, Ferris Collection, Communications, Portraits, Communications, Ferris Collection, Art, Animals, Portraits, Animals, Dogs, Communications, Birds, Shoes, Ferris Collection, Family, Philadelphia, Pennsylvania, Bathing, Fruit, Presidents, American Revolution (1775-1783), Books and reading, Cactus, Fishing, Death, Information Technology, Military, Poetry, Politics, Presidents, Soldiers, Veterans, Wood-carving, Smoking, Technology, Theater, Veterans, Wine and wine making, Presidents, Pets, Hands, Children, American Revolution (1775-1783), Banknote Engraving, Birds", Graphic Arts,Stephen%20James%20Ferris,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Stephen%20James%20Ferris,https://www.google.com/search?q=Stephen%20James%20Ferris
"Obama, Barack H.",ObamaBarackH,Political and Military History,312,images/8.jpg,44th U.S. President,"Barack Hussein Obama II is an American politician and attorney who served as the 44th president of the United States from 2009 to 2017. A member of the Democratic Party, Obama was the first African-American president of the United States. He previously served as a U.S. senator from Illinois from 2005 to 2008 and an Illinois state senator from 1997 to 2004.
Obama was born in Honolulu, Hawaii, making him the first president not born in the contiguous United States. After graduating from Columbia University in 1983, he worked as a community organizer in Chicago. ",img,pmh,Barack H. Obama,"Presidential Campaign of 2008, Politics, Democratic National Convention of 2012, Political Conventions, Presidents, Presidents, Presidential Campaign of 2008, Government, Government, Politics, Social reformers, Buttons, Badges, Ribbons, Elections, Presidential Inauguration of 2013, Inaugurations, Democratic National Convention of 2008, Presidential Inauguration of 2009, Politics, Presidential Inauguration of 2009, Democratic National Convention of 2012, Presidential Inauguration of 2009, Clothing and dress, Inaugurations, Dress accessories, Presidential Inauguration of 2009, Politics, Princeton Posters, Politics, Inaugurations, Political Conventions, Presidential Inauguration of 2009, Iowa, Presidential Campaign of 2008, Presidents, Presidential Inauguration of 2013, Elections, Presidential Campaign of 2012, Tea Party March on Washington, Presidents, Politics, Elections, Government, Presidents, Inaugurations, Government, Political Conventions, Presidents, Politics, Iowa, Postal service, Presidential Campaign of 2008, Social reformers, Republican National Convention of 2012, Princeton Posters, War in Iraq, Government, Inaugurations, Social reformers, Presidents, Princeton Posters, Protest and Civil Disobedience, Government, Government, Democratic National Convention of 2008, Buttons, Badges, Ribbons, Social reformers, Propaganda, Presidents, Buttons, Badges, Ribbons, Buttons, Badges, Ribbons, Presidential Inauguration of 2013, Presidential Inauguration of 2009, Presidential Campaign of 2012, Presidential Campaign of 2008, Politics, Political Caricatures, Inaugurations, Flags, Presidential Campaign of 2008, Iowa, Health Care, Women, Presidential Campaign of 2008, Religion, State Government, Tea Party Movement, U.S. Capitol Building, Vice-Presidents, labor issues, Promotional Item, Education, Emigration and immigration, Health Care, Judaism, Labor unions, Political parties, Economics, Conservatism, Abortion, Authors, Clothing and dress, Dress accessories, Advertising, Presidents, Republican Party (U.S. : 1854- ), Social reformers, Inaugurations, Taxes, Toys, Transportation, U.S. National Government, executive branch, Voting, War in Iraq, yoga, Socialism, September 11th Attacks, Seal of the President of the United States, Presidential Campaign of 2008, Military, Newspapers, Periodicals, Political parties, Politics, Presidential Campaign of 2008, Presidential Campaign of 2008, Republican National Convention of 2008, Presidential Inauguration of 2013, Presidents, Presidents, Presidents, Presidents' spouses, Princeton Posters, March on Washington, Iowa Caucus 2008, History, Health Care, Automobiles, Buttons, Badges, Ribbons, Cartoons, Civil rights, Cocktails, Conservatism, Cvil Rights, Ecology, Energy & Power, Family, Farmers and Ranchers, Finance and Investments, First ladies, Foreign Policy, Government, Celebrations, Government, Inaugurations, Politics, Politics, Presidential Campaign of 2008, Presidential Inauguration of 2009, Presidential Inauguration of 2013, Princeton Posters, Social reformers, Socialism, Presidents, Politics, Political Caricatures, Government, Government, Celebrations, Food habits, Inaugurations, Legislators, Memorabilia, Presidential Inauguration of 2009, Presidents, Presidents, Volunteer, Republican Party (U.S. : 1854- ), Sales Person, Social reformers, Social reformers, Social reformers, Taxes, Tea Party March on Washington, Transportation, Transportation, U.S. Congress, Veterans, Voting, War in Iraq, Watches, White House Easter Egg Roll, identification documents, Rock and Roll, Republican National Convention of 2016, Clothing and dress, Advertising, Animals, Art, Birthdays, General, Buttons, Badges, Ribbons, Children, Citizenship, Dogs, Republican National Convention of 2008, Dress accessories, Earth Day, Easter, Ecology, Ecology, Economics, Elections, Advertising, First ladies, Flags, Foreign Policy, Politics, Politics, Postal service, Prayer, Presidential Campaign of 2008, Presidential Campaign of 2008, Presidential Campaign of 2008, Presidential Campaign of 2012, Presidential Campaign of 2016, Presidential Inauguration of 2009, Presidents, Presidents, Presidents, Presidents' spouses, Princeton Posters, Protests, Politics, Political parties, Gay Rights, Political Action Committees, Government, Government, Government, Government, Inaugurations, Iowa Caucus 2008, LGBTQ Rights, Labor unions, Legislators, Magnetism, March, Rally, Demonstration, or Other, Military, Newspapers, Nursing, Peace, Presidential Inauguration of 2009, Food Culture, Postal service, Presidents, Presidential Campaign of 2008, Politics, Iowa"," Political History, Campaign Collection",Barack%20H%20Obama,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Barack%20H%20Obama,https://www.google.com/search?q=Barack%20H%20Obama
