,unitCode,decade,count
249,NMAH,1900.0,59439
250,NMAH,1910.0,41117
253,NMAH,1940.0,40126
251,NMAH,1920.0,38860
255,NMAH,1960.0,33194
256,NMAH,1970.0,32866
254,NMAH,1950.0,32471
252,NMAH,1930.0,28344
247,NMAH,1880.0,27208
245,NMAH,1860.0,23125
248,NMAH,1890.0,21769
246,NMAH,1870.0,18737
257,NMAH,1980.0,16634
244,NMAH,1850.0,11014
258,NMAH,1990.0,10072
259,NMAH,2000.0,9933
239,NMAH,1800.0,9441
243,NMAH,1840.0,7883
283,NMAI,1900.0,7666
242,NMAH,1830.0,7246
289,NMAI,1960.0,6608
282,NMAI,1890.0,6510
320,NPG,1860.0,6111
281,NMAI,1880.0,6038
398,SIA,1970.0,5696
399,SIA,1980.0,5375
290,NMAI,1970.0,5291
284,NMAI,1910.0,5284
240,NMAH,1810.0,4784
285,NMAI,1920.0,4689
241,NMAH,1820.0,4396
291,NMAI,1980.0,4380
238,NMAH,1790.0,4050
280,NMAI,1870.0,3916
260,NMAH,2010.0,3850
437,SIL,2010.0,3378
236,NMAH,1770.0,3131
237,NMAH,1780.0,3127
292,NMAI,1990.0,3122
397,SIA,1960.0,3115
293,NMAI,2000.0,3041
286,NMAI,1930.0,2976
116,FSA,1920.0,2915
288,NMAI,1950.0,2898
114,FSA,1900.0,2891
76,CHNDM,1900.0,2684
426,SIL,1900.0,2631
427,SIL,1910.0,2617
400,SIA,1990.0,2573
287,NMAI,1940.0,2550
74,CHNDM,1880.0,2202
425,SIL,1890.0,2183
73,CHNDM,1870.0,2132
235,NMAH,1760.0,2098
115,FSA,1910.0,2074
229,NMAH,1700.0,2012
231,NMAH,1720.0,2005
58,CHNDM,1720.0,1955
279,NMAI,1860.0,1947
424,SIL,1880.0,1915
71,CHNDM,1850.0,1842
66,CHNDM,1800.0,1827
234,NMAH,1750.0,1758
278,NMAI,1850.0,1645
75,CHNDM,1890.0,1610
230,NMAH,1710.0,1561
389,SIA,1880.0,1525
434,SIL,1980.0,1492
64,CHNDM,1780.0,1475
433,SIL,1970.0,1464
391,SIA,1900.0,1444
233,NMAH,1740.0,1432
68,CHNDM,1820.0,1410
392,SIA,1910.0,1381
423,SIL,1870.0,1368
232,NMAH,1730.0,1365
435,SIL,1990.0,1362
72,CHNDM,1860.0,1358
390,SIA,1890.0,1314
61,CHNDM,1750.0,1309
67,CHNDM,1810.0,1276
393,SIA,1920.0,1272
65,CHNDM,1790.0,1250
436,SIL,2000.0,1241
422,SIL,1860.0,1233
428,SIL,1920.0,1203
396,SIA,1950.0,1191
25,AAA,1960.0,1160
60,CHNDM,1740.0,1112
432,SIL,1960.0,1103
277,NMAI,1840.0,1079
63,CHNDM,1770.0,1065
402,SIA,2010.0,981
365,SAAM,1890.0,972
421,SIL,1850.0,969
69,CHNDM,1830.0,955
26,AAA,1970.0,911
367,SAAM,1910.0,856
276,NMAI,1830.0,848
366,SAAM,1900.0,823
420,SIL,1840.0,801
394,SIA,1930.0,786
364,SAAM,1880.0,779
273,NMAI,1800.0,779
70,CHNDM,1840.0,771
22,AAA,1930.0,755
275,NMAI,1820.0,733
401,SIA,2000.0,715
314,NPG,1800.0,697
419,SIL,1830.0,681
318,NPG,1840.0,674
359,SAAM,1830.0,646
363,SAAM,1870.0,644
274,NMAI,1810.0,636
368,SAAM,1920.0,623
431,SIL,1950.0,615
62,CHNDM,1760.0,606
335,NPM,1890.0,603
112,FSA,1880.0,587
77,CHNDM,1910.0,586
228,NMAH,1690.0,560
362,SAAM,1860.0,559
56,CHNDM,1700.0,559
429,SIL,1930.0,558
294,NMAI,2010.0,551
24,AAA,1950.0,541
27,AAA,1980.0,525
23,AAA,1940.0,525
21,AAA,1920.0,506
418,SIL,1820.0,494
395,SIA,1940.0,487
319,NPG,1850.0,486
59,CHNDM,1730.0,483
227,NMAH,1680.0,481
361,SAAM,1850.0,480
271,NMAI,1780.0,460
272,NMAI,1790.0,437
430,SIL,1940.0,416
29,AAA,2000.0,400
322,NPG,1880.0,390
369,SAAM,1930.0,388
360,SAAM,1840.0,386
20,AAA,1910.0,386
117,FSA,1930.0,360
313,NPG,1790.0,351
324,NPG,1900.0,349
417,SIL,1810.0,348
416,SIL,1800.0,348
321,NPG,1870.0,341
438,SIL,2020.0,334
317,NPG,1830.0,332
30,AAA,2010.0,327
270,NMAI,1770.0,322
19,AAA,1900.0,318
325,NPG,1910.0,309
263,NMAI,1700.0,306
388,SIA,1870.0,302
268,NMAI,1750.0,300
269,NMAI,1760.0,297
143,FSG,1870.0,289
323,NPG,1890.0,280
97,FBR,1960.0,280
334,NPM,1880.0,271
28,AAA,1990.0,270
413,SIL,1770.0,268
415,SIL,1790.0,264
342,NPM,1960.0,255
414,SIL,1780.0,252
261,NMAI,1680.0,249
326,NPG,1920.0,245
18,AAA,1890.0,243
327,NPG,1930.0,243
267,NMAI,1740.0,242
17,AAA,1880.0,240
262,NMAI,1690.0,238
147,HAC,1830.0,235
264,NMAI,1710.0,234
265,NMAI,1720.0,231
266,NMAI,1730.0,228
141,FSG,1850.0,226
341,NPM,1950.0,213
339,NPM,1930.0,212
338,NPM,1920.0,211
222,NMAAHC,1970.0,211
54,CHNDM,1680.0,205
216,NMAAHC,1910.0,204
219,NMAAHC,1940.0,195
91,FBR,1900.0,192
92,FBR,1910.0,191
96,FBR,1950.0,186
89,FBR,1880.0,184
90,FBR,1890.0,179
221,NMAAHC,1960.0,172
57,CHNDM,1710.0,165
358,SAAM,1820.0,158
55,CHNDM,1690.0,154
16,AAA,1870.0,154
412,SIL,1760.0,152
162,HMSG,1900.0,149
211,NMAAHC,1860.0,149
113,FSA,1890.0,146
218,NMAAHC,1930.0,146
315,NPG,1810.0,141
168,HSFA,1970.0,134
312,NPG,1780.0,128
111,FSA,1870.0,127
340,NPM,1940.0,127
220,NMAAHC,1950.0,127
94,FBR,1930.0,126
328,NPG,1940.0,125
316,NPG,1820.0,125
15,AAA,1860.0,124
383,SIA,1820.0,124
356,SAAM,1800.0,121
387,SIA,1860.0,118
160,HMSG,1880.0,118
217,NMAAHC,1920.0,117
78,CHNDM,1920.0,116
411,SIL,1750.0,113
95,FBR,1940.0,109
144,FSG,1880.0,103
215,NMAAHC,1900.0,102
93,FBR,1920.0,100
210,NMAAHC,1850.0,99
142,FSG,1860.0,93
386,SIA,1850.0,92
410,SIL,1740.0,90
161,HMSG,1890.0,90
355,SAAM,1790.0,90
88,FBR,1870.0,87
351,SAAM,1750.0,87
